location,state,year,lat,long,Primary Funding Source ,fund_source,fund_type,length,volume,actual_cost,2016 CF$,cost_2016,$/CY,CY/Foot,Other Funding Info,Source/Comment
"Cabrillo Beach, Los Angeles County",CA,1991,33.711168,-118.283443,Unknown,Unknown,Unknown,0,"220,000",0,0.571,0,,,,
Cameron Parish Shoreline Restoration (CS-0033),LA,2013,29.766258,-93.39128,State,State,Shore Protection,"45,936","1,932,470","40,495,241",0.978,"41,406,177",https://cims.coastal.louisiana.gov/DocLibrary/FileDownload.aspx?Root=0&id=12019,https://cims.coastal.louisiana.gov/outreach/ProjectView.aspx?projID=CS-0033,https://www.boem.gov/uploadedFiles/Cameron%20Parish%20-%20Final%20EA%20and%20FONSI.pdf,
Caminada Headland Beach and Dune Restoration (BA-45),LA,2014,29.107744,-90.181436,Private,Private,Ecosystem Restoration,"31,680","3,300,000","70,700,000",0.994,"71,126,761",http://cimsgeo.coastal.louisiana.gov/outreach/OPL_Full_page.html,,,
Caminada Headland Beach and Dune Restoration Phase 2 (BA-143),LA,2014,29.162958,-90.09695,Private,Private,Ecosystem Restoration,"36,960","5,400,000","145,700,000",0.994,"146,579,477",http://cimsgeo.coastal.louisiana.gov/outreach/OPL_Full_page.html,,,
Camp Ellis,ME,1992,43.466719,-70.381937,Federal,Federal,Navigation,0,"85,935","767,277",0.588,"1,304,893",,,,
Camp Ellis,ME,1996,43.466719,-70.381937,Federal,Federal,Navigation,0,"90,000","1,180,000",0.658,"1,793,313",,,,
Cape Lookout,NC,2006,34.624174,-76.523986,Federal,Federal,Shore Protection,"2,600","75,700","926,000",0.847,"1,093,270",http://www.carteretcountync.gov/DocumentCenter/View/2810,,,
Cape May,NJ,1992,38.929502,-74.924212,State,State,Unknown,0,"200,000","261,905",0.588,"445,417",,,,
Cape May,NJ,1992,38.929502,-74.924212,Federal,Federal,Emergency,0,"42,000","2,135,000",0.588,"3,630,952",,,,
Cape May Inlet to Lower Township,NJ,1991,38.941653,-74.883331,Federal,Federal,Shore Protection,"8,000","500,000","10,526,000",0.571,"18,434,326",http://www.nap.usace.army.mil/Portals/39/docs/History/ch03.pdf,,,
Cape May Inlet to Lower Township,NJ,1993,38.941653,-74.883331,Federal,Federal,Emergency,0,"300,000","2,200,000",0.606,"3,630,363",,,,
Cape May Inlet to Lower Township,NJ,1993,38.941653,-74.883331,Federal,Federal,Shore Protection,"4,800","415,000","2,400,000",0.606,"3,960,396",,,,
Cape May Inlet to Lower Township,NJ,1995,38.941653,-74.883331,Federal,Federal,Shore Protection,"4,800","330,000","2,400,000",0.641,"3,744,150",,,,
Cape May Inlet to Lower Township,NJ,1997,38.941653,-74.883331,Federal,Federal,Shore Protection,"14,000","366,000","2,400,000",0.676,"3,550,296",,,,
Cape May Inlet to Lower Township,NJ,1999,38.941653,-74.883331,Federal,Federal,Shore Protection,"14,000","400,000","2,435,000",0.699,"3,483,548",,,,
Cape May Inlet to Lower Township,NJ,2003,38.941653,-74.883331,Federal,Federal,Shore Protection,"14,000","267,000","2,435,000",0.775,"3,141,935",,,,
Cape May Inlet to Lower Township,NJ,2004,38.941653,-74.883331,Federal,Federal,Shore Protection,"14,000","290,000","2,364,000",0.793,"2,981,084",,,,
Cape May Inlet to Lower Township,NJ,2005,38.941653,-74.883331,Federal,Federal,Shore Protection,"12,000","800,673","3,995,500",0.820,"4,872,561",,,,
Cape May Inlet to Lower Township,NJ,2007,38.941653,-74.883331,Federal,Federal,Shore Protection,"4,500","230,000","4,125,000",0.871,"4,735,936",,,,
Cape May Inlet to Lower Township,NJ,2009,38.941653,-74.883331,Federal,Federal,Shore Protection,"4,400","425,000","3,375,000",0.901,"3,745,838",http://www.fws.gov/northeast/endangered/TEBO/PDFs/2008-F-0495.pdf,,,
Cape May Inlet to Lower Township,NJ,2011,38.941653,-74.883331,Federal,Federal,Shore Protection,0,"440,000","8,320,000",0.964,"8,630,705",,,,
Cape May Inlet to Lower Township,NJ,2012,38.941653,-74.883331,Federal,Federal,Shore Protection,"13,471","770,000","9,000,000",0.964,"9,336,100",,,,
Cape May Inlet to Lower Township,NJ,2014,38.941653,-74.883331,Federal,Federal,Emergency,"13,471","585,000","9,744,500",0.994,"9,803,320",https://www.fbo.gov/index?s=opportunity&mode=form&id=b2aecf787cf98fb3d20666738f6d5292&tab=core&_cview=1,,,
Cape May Point,NJ,2007,38.929502,-74.97207,Federal,Federal,Environmental Restoration,"13,000","126,000",0,0.871,0,,,,
"Capistrano Beach Park, Orange County",CA,1997,33.450815,-117.660527,Local,Local,Unknown,"1,000","35,500",0,0.676,0,,,,
Caplen Beach,TX,2003,29.65468,-95.008199,Federal,Federal,Shore Protection,"6,500","100,000","573,747",0.775,"740,319",,,,
Caplen Shores/Caplen Beach Subdivision,TX,1997,29.490002,-94.544156,Unknown,Unknown,Unknown,0,"188,000",0,0.676,0,,,,
Caplen Shores/Caplen Beach Subdivision,TX,1999,29.490002,-94.544156,Unknown,Unknown,Unknown,0,"175,000",0,0.699,0,,,,
Caplen Shores/Caplen Beach Subdivision,TX,2000,29.490002,-94.544156,Unknown,Unknown,Unknown,"3,000","138,400",0,0.725,0,,,,
Caplen Shores/Caplen Beach Subdivision,TX,2001,29.490002,-94.544156,Unknown,Unknown,Unknown,"3,000","126,000",0,0.746,0,,,,
Caplen Shores/Caplen Beach Subdivision,TX,2001,29.490002,-94.544156,Unknown,Unknown,Unknown,"5,730","70,000","756,000",0.746,"1,013,405",,,,
Caplen Shores/Caplen Beach Subdivision,TX,2002,29.490002,-94.544156,Unknown,Unknown,Unknown,"3,000","119,000",0,0.758,0,,,,
Cardiff,CA,2001,33.028395,-117.288709,Federal,Federal,Shore Protection,900,"101,000",0,0.746,0,http://www.sandag.org/uploads/publicationid/publicationid_920_2338.pdf,,,
"Carlsbad State Beach Park, San Diego County",CA,1991,33.14769,-117.345159,Unknown,Unknown,Unknown,0,"489,000",0,0.571,0,,,,
"Carlsbad State Beach Park, San Diego County",CA,1991,33.14769,-117.345159,Unknown,Unknown,Unknown,0,"115,395",0,0.571,0,,,,
"Carlsbad State Beach Park, San Diego County",CA,1992,33.14769,-117.345159,Unknown,Unknown,Unknown,0,"126,000",0,0.588,0,,,,
"Carlsbad State Beach Park, San Diego County",CA,1993,33.14769,-117.345159,Unknown,Unknown,Shore Protection,0,"115,000",0,0.606,0,,,,
"Carlsbad State Beach Park, San Diego County",CA,1994,33.14769,-117.345159,Unknown,Unknown,Unknown,0,"158,996",0,0.621,0,,,,
"Carlsbad State Beach Park, San Diego County",CA,1996,33.14769,-117.345159,Unknown,Unknown,Unknown,0,"443,130",0,0.658,0,,,,
"Carlsbad State Beach Park, San Diego County",CA,1997,33.14769,-117.345159,Unknown,Unknown,Unknown,0,"197,342",0,0.676,0,,,,
"Carlsbad State Beach Park, San Diego County",CA,1998,33.14769,-117.345159,Unknown,Unknown,Unknown,0,"273,581",0,0.685,0,,,,
"Carlsbad State Beach Park, San Diego County",CA,2001,33.14769,-117.345159,Federal,Federal,Shore Protection,"5,100","383,000",0,0.746,0,http://www.sandag.org/uploads/publicationid/publicationid_920_2338.pdf,,,
Carolina Beach,NC,1991,34.038772,-77.888904,Federal,Federal,Shore Protection,"11,600","1,008,736","2,450,286",0.571,"4,291,219",,,,
Carolina Beach,NC,1995,34.038772,-77.888904,Federal,Federal,Shore Protection,"11,600","1,157,742","3,185,642",0.641,"4,969,800",,,,
Carolina Beach,NC,2007,34.038772,-77.888904,Federal,Federal,Shore Protection,"5,280","532,250","3,000,000",0.871,"3,444,317",,,,
Carolina Beach,NC,2010,34.038772,-77.888904,Federal,Federal,Shore Protection,0,"690,000","4,278,185",0.916,"4,670,508",,,,
Carolina Beach,NC,2013,34.038772,-77.888904,Federal,Federal,Shore Protection,"14,256","900,000","5,291,166",0.978,"5,410,190",,,,
Carolina Beach,NC,2016,34.038772,-77.888904,Federal,Federal,Shore Protection,"3,328","890,000","5,000,000",1.000,"5,000,000",http://www.starnewsonline.com/article/20160317/NEWS/160319669/1015/news0101?p=all&tc=pgall&tc=ar,,,
Carolina Beach    ,NC,1998,34.038772,-77.888904,Federal,Federal,Shore Protection,0,"575,000","2,020,650",0.685,"2,949,854",,,,
Carolina Beach    ,NC,2001,34.038772,-77.888904,Federal,Federal,Shore Protection,0,"1,204,646","2,964,355",0.746,"3,973,666",,,,
Carolina Beach    ,NC,2004,34.038772,-77.888904,Federal,Federal,Shore Protection,0,"680,000","2,909,500",0.793,"3,668,979",,,,
Caswell Beach,NC,2001,33.896008,-78.051102,Federal,Federal,Navigation,"2,000","133,200",0,0.746,0,http://www.fws.gov/nc-es/pubs/fwca/wilmington/App_D_sand.pdf,,,
Caswell Beach,NC,2009,33.896008,-78.051102,Federal,Federal,Navigation,0,"1,090,000","13,400,000",0.901,"14,872,364",http://www.fws.gov/nc-es/pubs/fwca/wilmington/App_D_sand.pdf,,,
Chandeleur Islands,LA,2011,29.952555,-88.821087,Private,Private,Ecosystem Restoration,"39,370","5,231,802","220,000,000",0.964,"228,215,768",http://www.huffingtonpost.com/susan-buchanan/louisiana-turns-sand-berm_b_3376220.html,,,
Charlotte County: Knight Island,FL,1995,26.885206,-82.335438,State,State,Unknown,"3,168","255,451",0,0.641,0,,,,
Charlotte County: Knight Island,FL,2006,26.885206,-82.335438,State,State,Unknown,0,0,"1,459,300",0.847,"1,722,904",,,,
City of Bay St. Louis,MS,1996,30.302983,-89.330714,Unknown,Unknown,Unknown,"3,696",0,0,0.658,0,,,,
City of Bay St. Louis,MS,2012,30.302983,-89.330714,Unknown,Unknown,Unknown,"5,500","100,000",0,0.964,0,,,,
City of Jamaica Beach,TX,2005,29.181391,-94.972343,State,State,Shore Protection,0,0,"1,000,000",0.820,"1,219,512",,,,
City of San Francisco,CA,1999,37.759375,-122.510806,State,State,Unknown,0,"10,000","500,000",0.699,"715,308",,,,
City of San Francisco,CA,2000,37.759375,-122.510806,State,State,Unknown,0,"7,000","450,000",0.725,"620,690",,,,
Collier County: Barefoot Beach,FL,1991,26.328326,-81.845065,Federal,Federal,Navigation,0,0,0,0.571,0,,,,
Collier County: Marco Island,FL,1991,25.935122,-81.733904,Local,Local,Shore Protection,"6,000","575,000",0,0.571,0,http://www.colliergov.net/home/showdocument%3Fid%3D40705&sa=U&ved=0ahUKEwjQtY683r7MAhWCbSYKHbKXC-AQFggFMAA&client=internal-uds-cse&usg=AFQjCNFWE6H5xGBXNhT0kj5ws5MzJTwjRQ,,,
Collier County: Marco Island,FL,1997,25.935122,-81.733904,State,State,Shore Protection,"4,000","80,000",0,0.641,0,http://www.colliergov.net/home/showdocument%3Fid%3D40705&sa=U&ved=0ahUKEwjQtY683r7MAhWCbSYKHbKXC-AQFggFMAA&client=internal-uds-cse&usg=AFQjCNFWE6H5xGBXNhT0kj5ws5MzJTwjRQ,,,
Collier County: Marco Island,FL,2007,25.935122,-81.733904,State,State,Navigation,"4,000","176,000",0,0.871,0,http://www.colliergov.net/home/showdocument%3Fid%3D40705&sa=U&ved=0ahUKEwjQtY683r7MAhWCbSYKHbKXC-AQFggFMAA&client=internal-uds-cse&usg=AFQjCNFWE6H5xGBXNhT0kj5ws5MzJTwjRQ,,,
Collier County: Marco Island,FL,2010,25.935122,-81.733904,State,State,Navigation,"2,500","122,000",0,0.916,0,http://www.colliergov.net/home/showdocument%3Fid%3D40705&sa=U&ved=0ahUKEwjQtY683r7MAhWCbSYKHbKXC-AQFggFMAA&client=internal-uds-cse&usg=AFQjCNFWE6H5xGBXNhT0kj5ws5MzJTwjRQ,,,
Collier County: Marco Island,FL,2012,25.935122,-81.733904,State,State,Navigation,"1,000","9,300",0,0.964,0,http://www.colliergov.net/home/showdocument%3Fid%3D40705&sa=U&ved=0ahUKEwjQtY683r7MAhWCbSYKHbKXC-AQFggFMAA&client=internal-uds-cse&usg=AFQjCNFWE6H5xGBXNhT0kj5ws5MzJTwjRQ,,,
Collier County: Marco Island,FL,2013,25.935122,-81.733904,State,State,Navigation,"2,300","77,800",0,0.978,0,http://www.colliergov.net/home/showdocument%3Fid%3D58568&sa=U&ved=0ahUKEwjQtY683r7MAhWCbSYKHbKXC-AQFggfMAk&client=internal-uds-cse&usg=AFQjCNHXpt3XTgbDecuAMAvTPB4ydbiBZg,,,
Collier County: Marco Island,FL,2005,25.959862,-81.749558,,#N/A,Navigation,"2,800","136,350",0,0.820,0,http://www.colliergov.net/modules/showdocument.aspx%3Fdocumentid%3D46794&sa=U&ved=0ahUKEwis7Ozf4b7MAhUDLSYKHTdXClo4ChAWCBAwBA&client=internal-uds-cse&usg=AFQjCNGPj7PXUYYmjFwKmbXCkFXSnfiepA,,,
Collier County: Marco Island,FL,2001,25.971939,-81.738078,State,State,Navigation,"1,200","24,100",0,0.746,0,http://www.colliergov.net/modules/showdocument.aspx%3Fdocumentid%3D46794&sa=U&ved=0ahUKEwis7Ozf4b7MAhUDLSYKHTdXClo4ChAWCBAwBA&client=internal-uds-cse&usg=AFQjCNGPj7PXUYYmjFwKmbXCkFXSnfiepA,,,
Collier County: Marco Island,FL,2005,25.971939,-81.738078,,#N/A,Navigation,"3,000","180,420",0,0.820,0,http://www.colliergov.net/modules/showdocument.aspx%3Fdocumentid%3D46794&sa=U&ved=0ahUKEwis7Ozf4b7MAhUDLSYKHTdXClo4ChAWCBAwBA&client=internal-uds-cse&usg=AFQjCNGPj7PXUYYmjFwKmbXCkFXSnfiepA,,,
Collier County: Naples,FL,1998,26.123898,-81.805481,State,State,Emergency,0,"15,516",0,0.685,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Naples,FL,2006,26.123898,-81.805481,Federal,Federal,Navigation,0,"53,630",0,0.847,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Naples,FL,2014,26.123898,-81.805481,Federal,Federal,Navigation,"18,000","52,500","2,700,000",0.994,"2,716,298",http://www.colliergov.net/your-government/divisions-a-e/coastal-zone-management/2014-naples-beach-renourishment,,,
Collier County: Naples/Park Shore,FL,2000,26.203464,-81.816452,Federal,Federal,Navigation,0,"42,420",0,0.725,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Naples/Park Shore,FL,2001,26.203464,-81.816452,Federal,Federal,Navigation,0,"64,000",0,0.746,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Naples/Park Shore,FL,2007,26.203464,-81.816452,Federal,Federal,Navigation,0,"20,000",0,0.871,0,,,,
Collier County: Naples/Park Shore,FL,2013,26.203464,-81.816452,Federal,Federal,FEMA Emergency,0,"155,000","5,897,771",0.978,"6,030,441",http://www.colliergov.net/modules/showdocument.aspx?documentid=50038,,,
Collier County: Vanderbilt Beach,FL,1995,26.253845,-81.823515,Federal,Federal,Navigation,0,"42,000","112,136",0.641,"174,939",,,,
Collier County: Vanderbilt Beach,FL,1996,26.253845,-81.823515,Federal,Federal,Navigation,0,"58,000",0,0.658,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt Beach,FL,2007,26.253845,-81.823515,Federal,Federal,Navigation,0,"97,400",0,0.871,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt Beach/Pelican Bay,FL,2013,26.253845,-81.823515,Federal,Federal,FEMA Emergency,0,"95,000","3,532,180",0.978,"3,611,636",http://www.colliergov.net/modules/showdocument.aspx?documentid=50038,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,1996,26.203464,-81.816452,Federal,Federal,Shore Protection,"29,692","1,172,650","10,000,000",0.658,"15,197,568",https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,1997,26.203464,-81.816452,Federal,Federal,Navigation,0,"26,642",0,0.641,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,1998,26.203464,-81.816452,Federal,Federal,Navigation,0,"26,642",0,0.685,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,1999,26.203464,-81.816452,Federal,Federal,Navigation,0,"26,642",0,0.699,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,2002,26.203464,-81.816452,Federal,Federal,Emergency,"29,692","76,262",0,0.658,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,2002,26.203464,-81.816452,Federal,Federal,Navigation,0,"26,642",0,0.658,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,2003,26.203464,-81.816452,Federal,Federal,Navigation,0,"26,642",0,0.775,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,2004,26.203464,-81.816452,Federal,Federal,Navigation,0,"26,642",0,0.793,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,2005,26.203464,-81.816452,Federal,Federal,Navigation,0,"26,642",0,0.820,0,https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Vanderbilt/Park Shore/Naples,FL,2006,26.203464,-81.816452,Federal,Federal,Emergency,"45,408","667,562","18,476,312",0.820,"22,532,088",https://www.colliergov.net/Home/ShowDocument%3Fid%3D21163&sa=U&ved=0ahUKEwis6pWU1b7MAhVG1B4KHYn-ADIQFggLMAI&client=internal-uds-cse&usg=AFQjCNGaPIcdie7nO3ZKEXrBsQ7TbW96kw,,,
Collier County: Wiggins State Park,FL,1993,26.281699,-81.830088,Federal,Federal,Navigation,0,"35,000","88,303",0.606,"145,715",,,,
Collier County: Wiggins State Park,FL,1995,26.281699,-81.830088,Federal,Federal,Navigation,0,"26,642",0,0.641,0,,,,
Coney Island,NY,1995,40.572843,-73.978114,Federal,Federal,Shore Protection,"18,340","2,800,000","9,000,000",0.641,"14,040,562",,,,
Coney Island,NY,2013,40.572843,-73.978114,Federal,Federal,Emergency,"4,000","600,000","7,229,450",0.978,"7,392,076",https://www.fbo.gov/index?s=opportunity&mode=form&tab=core&id=4703b60b3ba5ecea3c6e02cb39c05c3a&_cview=0,,,
Corpus Christi (Nueces County),TX,1998,27.821988,-97.386417,State,State,Unknown,0,"24,000","85,000",0.685,"124,088",,,,
Corpus Christi (Nueces County),TX,2001,27.821988,-97.386417,State,State,Unknown,"1,100","125,000","2,269,000",0.746,"3,041,555",,,,
Dam Neck Naval Base,VA,1996,36.796008,-75.961259,Federal,Federal,Shore Protection,"9,280","759,000","3,800,000",0.658,"5,775,076",,,,
Dam Neck Naval Base,VA,2004,36.796008,-75.961259,Federal,Federal,Shore Protection,"9,280","700,000",0,0.793,0,,,,
Dam Neck Naval Base,VA,2015,36.796008,-75.961259,Federal,Federal,Shore Protection,"9,280","700,000",0,0.995,0,,,,
Dare County,NC,2004,35.974950,-75.631943,Federal,Federal,Emergency,0,"383,000","5,100,000",0.793,"6,431,274",,,,
Daufuskie,SC,1998,32.113277,-80.8462,Private,Private,Unknown,"18,480","1,400,000","6,000,000",0.685,"8,759,124",,,,
Dauphin Island    ,AL,2000,30.249577,-88.173866,Federal,Federal,Emergency,"13,000","300,000","1,000,000",0.725,"1,379,310",,,,
Dauphin Island    ,AL,2016,30.249577,-88.173866,Federal,Federal,Ecosystem Restoration,"5,280","300,000","6,800,000",1.000,"6,800,000",http://www.al.com/news/mobile/index.ssf/2016/03/rebuilding_a_beach_dauphin_isl.html#incart_river_home,,,
Dead Neck,MA,2000,41.548978,-70.5233,Local,Local,Unknown,"2,000","187,300",0,0.725,0,https://static1.squarespace.com/static/52fa48c3e4b02281aef8feb2/t/53b57769e4b056f1fea32b8b/1404401513882/DN+Beach+Nourishment+MonitoringAnalysis+2010.pdf,,,
Dead Neck,MA,2000,41.548978,-70.5233,Local,Local,Unknown,"1,000","25,100",0,0.725,0,https://static1.squarespace.com/static/52fa48c3e4b02281aef8feb2/t/53b57769e4b056f1fea32b8b/1404401513882/DN+Beach+Nourishment+MonitoringAnalysis+2010.pdf,,,
Debidue,SC,1990,33.361942,-79.151065,Private,Private,Unknown,"10,032","200,000","1,000,000",0.571,"1,751,313",,,,
Debidue,SC,1998,33.361942,-79.151065,Private,Private,Unknown,"7,920","250,000","1,500,000",0.685,"2,189,781",,,,
Debidue,SC,2006,33.361942,-79.151065,Private,Private,Unknown,"7,920","600,000","5,600,000",0.847,"6,611,570",,,,
Debidue,SC,2015,33.361942,-79.151065,Private,Private,Unknown,"7,920","650,000","9,500,000",0.995,"9,547,739",https://issuu.com/debordieu/docs/debordieucolony_junenewsletter,,,
"Del Mar, San Diego County",CA,1998,32.959598,-117.268388,Federal,Federal,Navigation,0,"170,000",0,0.685,0,,,,
"Del Mar, San Diego County",CA,2001,32.959598,-117.268388,Federal,Federal,Shore Protection,"3,200","183,000",0,0.746,0,http://www.sandag.org/uploads/publicationid/publicationid_920_2338.pdf,,,
"Delta Beach, San Diego County",CA,1995,32.675194,-117.168556,Federal,Federal,Navigation,0,"60,000",0,0.641,0,,,,
Dewey Beach,DE,1993,38.69298,-75.07179,State,State,Unknown,"1,900","5,755","30,210",0.606,"49,851",190,,,
Dewey Beach,DE,1994,38.69298,-75.07179,Federal,Federal,Shore Protection,"1,385","14,004","60,000",0.621,"96,618",190,,,
Dewey Beach,DE,1994,38.69298,-75.07179,State,State,Unknown,"6,000","578,874","2,342,230",0.621,"3,771,707",190,,,
Dewey Beach,DE,1998,38.69298,-75.07179,State,State,Emergency,"6,095","453,500","1,948,000",0.685,"2,843,796",,,,
"Dockweiler Beach, Playa Del Rey, Los Angeles County",CA,1998,33.925842,-118.43399,Unknown,Unknown,Navigation,0,"123,300",0,0.685,0,,,,
"Dockweiler Beach, Playa Del Rey, Los Angeles County",CA,1999,33.925842,-118.43399,Local,Local,Navigation,0,"215,655",0,0.699,0,,,,
"Driftwood Beach, Blakely Island",WA,1999,48.586317,-122.807729,Unknown,Unknown,Unknown,900,"1,810","90,000",0.699,"128,755",,,,
Duck,NC,2017,36.195611,-75.75687,Local,Local,Shore Protection,"8,976","1,400,000","14,100,000",1.000,"14,100,000",http://www.darenc.com/government/beach-nourishment/project-history,,,
Duval County,FL,1996,30.394162,-81.405103,State,State,Unknown,"26,400",0,"7,590,000",0.658,"11,534,954",,,,
Duval County,FL,2005,30.394162,-81.405103,Federal,Federal,Emergency,0,0,"9,000,000",0.820,"10,975,610",,,,
Duval County,FL,2006,30.394162,-81.405103,Federal,Federal,Unknown,0,0,"300,000",0.847,"354,191",,,,
Duval County: Jacksonville Beach,FL,1992,30.285688,-81.387652,Federal,Federal,Shore Protection,"8,800","370,000","2,070,000",0.588,"3,520,408",,,,
Duval County: Jacksonville Beach,FL,1996,30.285688,-81.387652,Federal,Federal,Shore Protection,"39,600","1,240,000","7,400,000",0.658,"11,246,201",,,,
Duval County: Jacksonville Beach,FL,2003,30.285688,-81.387652,Federal,Federal,Shore Protection,"1,000",0,"3,000,000",0.775,"3,870,968",,,,
Duval County: Kathryn Abbey Hanna Park,FL,1990,30.369913,-81.397405,Federal,Federal,Navigation,0,"422,000","1,788,136",0.571,"3,131,587",,,,
Duval County: Kathryn Abbey Hanna Park,FL,1994,30.369913,-81.397405,Federal,Federal,Navigation,0,"700,000","3,301,887",0.621,"5,317,048",,,,
"East Beach, Santa Barbara",CA,1992,34.409813,-119.690552,Federal,Federal,Navigation,0,"600,000",0,0.588,0,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf,,,
"East Beach, Santa Barbara",CA,1993,34.409813,-119.690552,Federal,Federal,Navigation,0,"600,000",0,0.606,0,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf,,,
"East Beach, Santa Barbara",CA,1995,34.409813,-119.690552,Federal,Federal,Navigation,0,"600,000",0,0.641,0,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf,,,
"East Beach, Santa Barbara",CA,1996,34.409813,-119.690552,Federal,Federal,Navigation,0,"600,000",0,0.658,0,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf,,,
"East Beach, Santa Barbara",CA,1997,34.409813,-119.690552,Federal,Federal,Navigation,0,"600,000",0,0.676,0,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf,,,
"East Beach, Santa Barbara",CA,2005,34.409813,-119.690552,Federal,Federal,Navigation,0,"600,000",0,0.820,0,http://www.dbw.ca.gov/PDF/Reports/BeachReport/Ch6_Effectiveness.pdf,,,
