location,state,year,lat,long,fund_source,fund_type,Length (ft),volume,Actual Cost,2013 CF$,cost_2013,$/CY,CY/Foot
Brevard County: North Reach,FL,1995,28.36784,-80.602083,Federal,Navigation,0.00,742000.00,3601942.00,0.65,5507556.57,4.85,0.00
Brevard County: North Reach (NSD),FL,1995,28.318587,-80.60739,Federal,Navigation,0.00,122000.00,0.00,0.65,0.00,0.00,#DIV/0!
Brevard County: Port Canaveral Harbor Sand Bypass,FL,1995,28.390947,-80.595667,Federal,Navigation,0.00,783000.00,0.00,0.65,0.00,0.00,#DIV/0!
Cape May Inlet to Lower Township,NJ,1995,38.941653,-74.883331,Federal,Shore Protection,4800.00,330000.00,2605000.00,0.65,3983180.43,7.89,68.75
Carolina Beach,NC,1995,34.038772,-77.888904,Federal,Shore Protection,11600.00,1157742.00,3185642.00,0.65,4871012.23,2.75,99.81
Charlotte County: Knight Island,FL,1995,26.885206,-82.335438,State,Unknown,3168.00,255451.00,0.00,0.65,0.00,0.00,80.63
Collier County: Marco Island,FL,1995,25.935122,-81.733904,State,Unknown,0.00,2400.00,11068.00,0.65,16923.55,4.61,#DIV/0!
Collier County: Vanderbilt Beach,FL,1995,26.253845,-81.823515,Federal,Navigation,0.00,42000.00,112136.00,0.65,171461.77,2.67,#DIV/0!
Collier County: Wiggins State Park,FL,1995,26.281699,-81.830088,Federal,Navigation,0.00,0.00,0.00,0.65,0.00,0.00,#DIV/0!
Coney Island,NY,1995,40.572843,-73.978114,Federal,Shore Protection,18340.00,2800000.00,9000000.00,0.65,13761467.89,3.21,152.67
"Delta Beach, San Diego County",CA,1995,32.675194,-117.168556,Federal,Navigation,0.00,60000.00,0.00,0.65,0.00,0.00,#DIV/0!
"East Beach, Santa Barbara",CA,1995,34.409813,-119.690552,Federal,Navigation,0.00,600000.00,0.00,0.65,0.00,0.00,#DIV/0!
Edisto Beach,SC,1995,32.477673,-80.336162,State,Unknown,10560.00,150000.00,1500000.00,0.65,2293577.98,10.00,14.20
Emerald Isle Point,NC,1995,34.645027,-77.097867,Federal,Navigation,0.00,33000.00,0.00,0.65,0.00,0.00,#DIV/0!
Emerald Isle Point,NC,1995,34.645027,-77.097867,Federal,Navigation,0.00,33000.00,0.00,0.65,0.00,0.00,#DIV/0!
Great Gunn Beach,NY,1995,40.752751,-72.798758,Local,Unknown,0.00,40000.00,155340.00,0.65,237522.94,3.88,#DIV/0!
Hempstead Beach,NY,1995,40.831541,-73.657837,Federal,Navigation,3000.00,459000.00,2915000.00,0.65,4457186.54,6.35,153.00
Keansburg,NJ,1995,40.449103,-74.121923,State,Unknown,0.00,18000.00,0.00,0.65,0.00,0.00,#DIV/0!
Lee County: Bonita Beach,FL,1995,26.331884,-81.846428,State,Unknown,4118.00,217000.00,1100000.00,0.65,1681957.19,5.07,52.70
Lee County: Sanibel,FL,1995,26.44897,-82.022314,State,Unknown,3907.00,237100.00,0.00,0.65,0.00,0.00,60.69
Lee County: South Seas Plantation,FL,1995,26.54667,-82.19887,Local,Unknown,25480.00,0.00,0.00,0.65,0.00,0.00,0.00
Long Beach Island: Harvey Cedars,NJ,1995,39.705998,-74.132245,State,Emergency,0.00,525000.00,0.00,0.65,0.00,0.00,#DIV/0!
"Long Beach, Los Angeles County",CA,1995,33.761239,-118.158517,Local,Shore Protection,2500.00,100000.00,0.00,0.65,0.00,0.00,40.00
Manatee County/Sarasota County: Longboat Key,FL,1995,27.411776,-82.660484,Local,Unknown,0.00,0.00,237797.00,0.65,363603.98,#DIV/0!,#DIV/0!
Martin County: Jupiter/Carlin Beach,FL,1995,26.929823,-80.068209,Federal,Shore Protection,5702.00,603000.00,2274400.00,0.65,3477675.84,3.77,105.75
"McGrath State Beach Park, Ventura County",CA,1995,34.226393,-119.2623327,Federal,Navigation,0.00,800000.00,0.00,0.65,0.00,0.00,#DIV/0!
North Indian River Inlet,DE,1995,38.606274,-75.061169,Federal,Section 111,3500.00,68750.00,0.00,0.65,0.00,0.00,19.64
Ocean City,NJ,1995,39.264158,-74.589958,Federal,Shore Protection,24816.00,1411000.00,5749776.00,0.65,8791706.42,4.07,56.86
Ocean City,NJ,1995,39.264158,-74.589958,State,Unknown,10560.00,360000.00,1232572.00,0.65,1884666.67,3.42,34.09
"Oceanside City Beach, San Diego County",CA,1995,33.195173,-117.385526,Federal,Navigation,0.00,400000.00,0.00,0.65,0.00,0.00,#DIV/0!
Ocracoke Island,NC,1995,35.177176,-75.782661,Federal,Navigation,0.00,44305.00,145135.00,0.65,221918.96,3.28,#DIV/0!
Palm Beach County: Mid-town Beach ,FL,1995,26.701491,-80.032847,Local,Unknown,5400.00,800000.00,3200000.00,0.65,4892966.36,4.00,148.15
Palm Beach County: Palm Beach,FL,1995,26.705425,-80.032884,Unknown,Unknown,5030.00,880000.00,0.00,0.65,0.00,0.00,174.95
Pea Island,NC,1995,35.727144,-75.496674,Federal,Navigation,2000.00,203191.00,1294327.00,0.65,1979093.27,6.37,101.60
Point Lookout/Jones Inlet,NY,1995,40.585783,-73.581533,Federal,Navigation,0.00,459000.00,0.00,0.65,0.00,0.00,#DIV/0!
Port Chehalis,WA,1995,46.904534,-124.133229,Federal,Shore Protection,0.00,300000.00,1404988.00,0.65,2148299.69,4.68,#DIV/0!
"Prospect Beach, West Haven",CT,1995,41.246821,-72.964861,Federal,Shore Protection,4500.00,675000.00,2268000.00,0.65,0.00,3.36,150.00
Rockaway Beach,NY,1995,40.585221,-73.806914,Federal,Navigation,3000.00,153000.00,1373000.00,0.65,2099388.38,8.97,51.00
"Salsbury Point Park, Hood Canal",WA,1995,47.856791,-122.607583,Unknown,Unknown,300.00,2000.00,389000.00,0.65,594801.22,194.50,6.67
Sandy Hook to Barnegat Inlet: Monmouth Beach,NJ,1995,40.335357,-73.973708,Federal,Shore Protection,16368.00,4600000.00,32307692.00,0.65,49400140.67,7.02,281.04
St. Lucie County: Ft. Pierce Beach,FL,1995,27.441207,-80.32097,Federal,Navigation,0.00,166650.00,808981.00,0.65,1236974.01,4.85,#DIV/0!
Topsail Island,NC,1995,34.351940,-77.644415,Federal,Navigation,389.00,38883.00,269659.00,0.65,412322.63,6.94,99.96
Tybee Island,GA,1995,31.999851,-80.842209,Federal,Shore Protection,0.00,300000.00,1860000.00,0.65,2844036.70,6.20,#DIV/0!
Virginia Beach,VA,1995,36.853733,-75.975094,Federal,Shore Protection,18480.00,289450.00,962000.00,0.65,1470948.01,3.32,15.66
Bald Head Island,NC,1996,33.855876,-77.999067,Local,Shore Protection,13000.00,715000.00,0.00,0.67,0.00,0.00,55.00
Bay County: Panama City Beach,FL,1996,30.176314,-85.807965,Federal,Navigation,0.00,98990.00,272223.00,0.67,403891.69,2.75,#DIV/0!
Brevard County: North Reach,FL,1996,28.36784,-80.602083,Federal,Shore Protection,2500.00,40000.00,341000.00,0.67,505934.72,8.53,16.00
Brevard County: Patrick Air Force Base,FL,1996,28.238729,-80.600921,Federal,Shore Protection,18000.00,100000.00,1300000.00,0.67,1928783.38,13.00,5.56
Camp Ellis,ME,1996,43.466719,-70.381937,Federal,Navigation,0.00,90000.00,1180000.00,0.67,1750741.84,13.11,#DIV/0!
"Carlsbad State Beach Park, San Diego County",CA,1996,33.14769,-117.345159,Unknown,Unknown,0.00,443130.00,0.00,0.67,0.00,0.00,#DIV/0!
City of Bay St. Louis,MS,1996,30.302983,-89.330714,Unknown,Unknown,3696.00,0.00,0.00,0.67,0.00,#DIV/0!,0.00
Collier County: Vanderbilt/Park Shore/Naples,FL,1996,26.203464,-81.816452,Federal,Shore Protection,29692.00,1132000.00,10000000.00,0.67,14836795.25,8.83,38.12
Dam Neck Naval Base,VA,1996,36.78248,-75.957069,Federal,Shore Protection,9200.00,808000.00,3800000.00,0.67,5637982.20,4.70,87.83
Duval County,FL,1996,30.394162,-81.405103,State,Unknown,26400.00,0.00,7590000.00,0.67,11261127.60,#DIV/0!,0.00
Duval County: Jacksonville Beach,FL,1996,30.285688,-81.387652,Federal,Shore Protection,39600.00,1240000.00,7400000.00,0.67,10979228.49,5.97,31.31
"East Beach, Santa Barbara",CA,1996,34.409813,-119.690552,Federal,Navigation,0.00,600000.00,0.00,0.67,0.00,0.00,#DIV/0!
Emerald Isle Point,NC,1996,34.645027,-77.097867,Federal,Navigation,0.00,71000.00,0.00,0.67,0.00,0.00,#DIV/0!
Fire Island: Water Island,NY,1996,40.674454,-73.029299,Local,Unknown,1000.00,76000.00,470000.00,0.67,697329.38,6.18,76.00
Kitts Hummock Beach,DE,1996,39.101242,-75.400844,State,Unknown,0.00,32580.00,0.00,0.67,0.00,0.00,#DIV/0!
Lee County: Captiva Island,FL,1996,26.527581,-82.194493,Federal,Unknown,25344.00,817300.00,5164900.00,0.67,7663056.38,6.32,32.25
"Long Beach, Los Angeles County",CA,1996,33.761239,-118.158517,Local,Shore Protection,2500.00,60000.00,0.00,0.67,0.00,0.00,24.00
Manatee County/Sarasota County: Longboat Key,FL,1996,27.411776,-82.660484,Unknown,Unknown,0.00,0.00,513150.00,0.67,761350.15,#DIV/0!,#DIV/0!
Martin County,FL,1996,27.256737,-80.196891,Local,Unknown,19800.00,1269000.00,8625000.00,0.67,12796735.91,6.80,64.09
Martin County: Hutchinson Island,FL,1996,27.295024,-80.214636,Federal,Shore Protection,21648.00,1340000.00,11168529.00,0.67,16570517.80,8.33,61.90
Martin County: Jupiter Island,FL,1996,27.032179,-80.09943,Local,Unknown,17600.00,1800000.00,7200000.00,0.67,10682492.58,4.00,102.27
Nassau County: Fernandina Beach,FL,1996,30.669182,-81.465576,Federal,Navigation,0.00,84446.00,422230.00,0.67,626454.01,5.00,#DIV/0!
North Indian River Inlet,DE,1996,38.606274,-75.061169,Federal,Section 111,3500.00,100000.00,0.00,0.67,0.00,0.00,28.57
Palm Beach County: Boca Raton South,FL,1996,26.354421,-80.069046,State,Unknown,4170.00,252000.00,1260000.00,0.67,1869436.20,5.00,60.43
Palm Beach County: Delray Beach,FL,1996,26.462092,-80.057373,Federal,Shore Protection,14260.00,1020000.00,5100000.00,0.67,7566765.58,5.00,71.53
Palm Beach County: Juno Beach,FL,1996,26.879895,-80.052459,Federal,Navigation,30096.00,135000.00,1455000.00,0.67,2158753.71,10.78,4.49
Pea Island,NC,1996,35.727144,-75.496674,Federal,Navigation,0.00,500217.00,0.00,0.67,0.00,0.00,#DIV/0!
Pinellas County: Long Key/Upham Beach,FL,1996,27.736415,-82.753655,Federal,Shore Protection,2112.00,253000.00,,0.67,0.00,,
Pinellas County: Treasure Island/Sunset Beach,FL,1996,27.749268,-82.762831,Federal,Shore Protection,2481.00,51300.00,780000.00,0.67,1157270.03,15.20,20.68
Pleasure Bay Beach,MA,1996,42.335675,-71.023436,State,Unknown,0.00,10600.00,159000.00,0.67,235905.04,15.00,#DIV/0!
"Quincy Shore Beach (Wollaston Beach), Quincy ",MA,1996,42.277944,-71.011934,State,Unknown,0.00,44200.00,663000.00,0.67,983679.53,15.00,#DIV/0!
Rockaway Beach,NY,1996,40.585221,-73.806914,Federal,Navigation,4000.00,340000.00,2400000.00,0.67,3560830.86,7.06,85.00
Rollover Pass,TX,1996,29.507633,-94.498773,Federal,Unknown,5280.00,240000.00,0.00,0.67,0.00,0.00,45.45
Sandy Hook to Barnegat Inlet: Sea Bright,NJ,1996,40.390848,-73.975289,Federal,Shore Protection,12672.00,3800000.00,24307692.00,0.67,36064824.93,6.40,299.87
"Sandy Point, Narrangansett",RI,1996,41.553148,-71.234311,Federal,Navigation,0.00,60000.00,444444.00,0.67,659412.46,7.41,#DIV/0!
Sarasota County: Sarasota,FL,1996,27.340455,-82.601609,Unknown,Unknown,16896.00,0.00,15031601.00,0.67,22302078.64,0.00,0.00
Sarasota County: Venice Beach,FL,1996,27.100135,-82.460707,Federal,Shore Protection,9880.00,901000.00,18500000.00,0.67,27448071.22,20.53,91.19
Seabrook Island,SC,1996,32.559912,-80.170637,Private,Unknown,0.00,0.00,500000.00,0.67,741839.76,#DIV/0!,#DIV/0!
"Silver Strand Beach, Ventura County",CA,1996,32.638851,-117.144771,Federal,Navigation,0.00,400000.00,0.00,0.67,0.00,0.00,#DIV/0!
Smith Point County Park,NY,1996,40.753694,-72.795625,Local,Unknown,0.00,600000.00,2400000.00,0.67,3560830.86,4.00,#DIV/0!
St. Johns County: Anastasia State Park/ St.Augustine,FL,1996,29.896727,-81.275718,Federal,Shore Protection,0.00,292000.00,3584360.00,0.67,5318041.54,12.28,0.00
St. Johns County: St. Augustine Beach/Anastasia,FL,1996,29.88676,-81.286361,Federal,Navigation,0.00,258000.00,2523240.00,0.67,3743679.53,9.78,#DIV/0!
Tijuana River National Estuary,CA,1996,32.55,-117.13,Unknown,Navigation,0.00,0.00,0.00,0.67,0.00,#DIV/0!,#DIV/0!
Virginia Beach,VA,1996,36.853733,-75.975094,Federal,Shore Protection,18480.00,300000.00,1100000.00,0.67,1632047.48,3.67,16.23
Volusia County: Ponce Inlet (North Beach),FL,1996,29.098102,-80.935314,Federal,Shore Protection,0.00,0.00,0.00,0.67,0.00,0.00,#DIV/0!
West Ship Island,MS,1996,30.211979,-88.973508,State,Unknown,0.00,55000.00,0.00,0.67,0.00,0.00,#DIV/0!
Absecon Island: Atlantic City,NJ,1997,39.357595,-74.421816,State,Unknown,0.00,450000.00,0.00,0.69,0.00,0.00,#DIV/0!
Bald Head Island,NC,1997,33.855876,-77.999067,Local,Shore Protection,0.00,450000.00,0.00,0.69,0.00,0.00,#DIV/0!
Brevard County: Sebastian Inlet (South Beaches),FL,1997,27.859054,-80.446873,State,Unknown,0.00,290000.00,0.00,0.69,0.00,0.00,#DIV/0!
Brevard County: Sebastian Inlet (South Beaches),FL,1997,27.859054,-80.446873,State,Unknown,0.00,236000.00,0.00,0.69,0.00,0.00,#DIV/0!
Brigantine,NJ,1997,39.405826,-74.362421,State,Shore Protection,0.00,1200000.00,6000000.00,0.69,8708272.86,5.00,#DIV/0!
Cape May Inlet to Lower Township,NJ,1997,38.941653,-74.883331,Federal,Shore Protection,0.00,366000.00,2400000.00,0.69,3483309.14,6.56,#DIV/0!
"Capistrano Beach Park, Orange County",CA,1997,33.450815,-117.660527,Local,Unknown,1000.00,35500.00,0.00,0.69,0.00,0.00,35.50
Caplen Shores/Caplen Beach Subdivision,TX,1997,29.490002,-94.544156,Unknown,Unknown,0.00,188000.00,0.00,0.69,0.00,0.00,#DIV/0!
"Carlsbad State Beach Park, San Diego County",CA,1997,33.14769,-117.345159,Unknown,Unknown,0.00,197342.00,0.00,0.69,0.00,0.00,#DIV/0!
"East Beach, Santa Barbara",CA,1997,34.409813,-119.690552,Federal,Navigation,0.00,600000.00,0.00,0.69,0.00,0.00,#DIV/0!
Ediz Hook,WA,1997,48.140472,-123.449051,Local,Unknown,6160.00,100000.00,5878740.00,0.69,8532278.66,58.79,16.23
Emerald Isle Point,NC,1997,34.645027,-77.097867,Federal,Navigation,0.00,39000.00,0.00,0.69,0.00,0.00,#DIV/0!
Figure Eight Island - North End,NC,1997,34.287396,-77.721065,Private,Shore Protection,0.00,250000.00,0.00,0.69,0.00,0.00,#DIV/0!
"Floral Point, SUBASE Bangor",WA,1997,47.72186,-122.746478,Federal,Unknown,0.00,0.00,0.00,0.69,0.00,0.00,#DIV/0!
Garden City Beach,SC,1997,33.581876,-78.993073,Federal,Shore Protection,30000.00,1517494.00,14294614.00,0.69,20746899.85,9.42,50.58
Hilton Head,SC,1997,32.236644,-80.677092,Local,Unknown,43500.00,3383000.00,11000000.00,0.69,15965166.91,3.25,77.77
Keansburg,NJ,1997,40.449103,-74.121923,State,Unknown,0.00,75000.00,0.00,0.69,0.00,0.00,#DIV/0!
"Long Beach, Los Angeles County",CA,1997,33.761239,-118.158517,Local,Shore Protection,2500.00,100000.00,0.00,0.69,0.00,0.00,40.00
Manatee County/Sarasota County: Longboat Key/Mid Key,FL,1997,27.411776,-82.660484,Unknown,Unknown,16368.00,891000.00,0.00,0.69,0.00,0.00,54.44
Miami-Dade County: Bal Harbour-Surfside-Miami Beach,FL,1997,25.878888,-80.120158,Unknown,Unknown,5280.00,432000.00,0.00,0.69,0.00,0.00,81.82
Miami-Dade County: Haulover Park,FL,1997,25.912041,-80.121231,Federal,Unknown,5385.60,0.00,4371301.00,0.69,6344413.64,#DIV/0!,0.00
Miami-Dade County: Sunny Isles/Miami Beach,FL,1997,25.790966,-80.127196,Federal,Unknown,9000.00,716052.00,12687000.00,0.69,18413642.96,17.72,79.56
Nassau County: Amelia Island,FL,1997,30.619762,-81.43914,Local,Unknown,4488.00,300000.00,0.00,0.69,0.00,0.00,66.84
Nassau County: S. Amelia Island,FL,1997,30.626543,-81.438072,Federal,Navigation,7000.00,325000.00,1511250.00,0.69,2193396.23,4.65,46.43
"Newport Beach, Orange County",CA,1997,33.61562,-117.935572,Federal,Shore Protection,0.00,140000.00,0.00,0.69,0.00,0.00,#DIV/0!
North Indian River Inlet,DE,1997,38.606274,-75.061169,Federal,Section 111,3500.00,100000.00,0.00,0.69,0.00,0.00,28.57
North Myrtle Beach,SC,1997,33.814998,-78.679404,Federal,Unknown,45400.00,2622904.00,20154213.00,0.69,29251397.68,7.68,57.77
Ocean City   ,NJ,1997,39.264158,-74.589958,Federal,Shore Protection,7000.00,800000.00,4945000.00,0.69,7177068.21,6.18,114.29
"Oceanside City Beach, San Diego County",CA,1997,33.195173,-117.385526,Federal,Navigation,0.00,500000.00,0.00,0.69,0.00,0.00,#DIV/0!
Pea Island,NC,1997,35.727144,-75.496674,Federal,Navigation,0.00,294000.00,1159642.00,0.69,1683079.83,3.94,#DIV/0!
Rollover Pass,TX,1997,29.507633,-94.498773,Federal,Unknown,0.00,100000.00,0.00,0.69,0.00,0.00,#DIV/0!
South Padre Island (4 miles north of Brazos Santiago Pass),TX,1997,26.074415,-97.156842,Federal,Navigation,6864.00,489111.00,630000.00,0.69,914368.65,1.29,71.26
St. Lucie County: Ft. Lucie Inlet,FL,1997,27.147789,-80.151283,Unknown,Unknown,0.00,335000.00,0.00,0.69,0.00,0.00,#DIV/0!
St. Lucie County: Ft. Lucie Inlet,FL,1997,27.147789,-80.151283,Unknown,Unknown,0.00,290000.00,0.00,0.69,0.00,0.00,#DIV/0!
"Surfside/Sunset Beach, Orange County",CA,1997,33.718895,-118.075089,Federal,Shore Protection,0.00,1600000.00,0.00,0.69,0.00,0.00,#DIV/0!
"Ventura, Ventura County",CA,1997,34.266722,-119.278049,Federal,Navigation,0.00,19500.00,0.00,0.69,0.00,0.00,#DIV/0!
Westhampton Beach,NY,1997,40.794643,-72.639198,Federal,Shore Protection,12000.00,4000000.00,30700000.00,0.69,44557329.46,7.68,333.33
Assateague Island,MD,1998,38.091337,-75.198026,Unknown,Unknown,0.00,200000.00,0.00,0.70,0.00,0.00,#DIV/0!
Bethany/South Bethany Beach,DE,1998,38.539808,-75.053873,State,Unknown,5138.00,321700.00,1321572.00,0.70,1887960.00,4.11,62.61
Bethany/South Bethany Beach,DE,1998,38.516525,-75.052564,State,Unknown,3400.00,168900.00,707635.00,0.70,1010907.14,4.19,49.68
Bowers Beach,DE,1998,39.061499,-75.396992,State,Unknown,2200.00,101405.00,0.00,0.70,0.00,0.00,46.09
Brevard County: Patrick Air Force Base,FL,1998,28.238729,-80.600921,Federal,Shore Protection,0.00,165000.00,0.00,0.70,0.00,0.00,#DIV/0!
Brevard County: Port Canaveral Harbor Sand Bypass,FL,1998,28.390947,-80.595667,Federal,Navigation,0.00,1035000.00,0.00,0.70,0.00,0.00,#DIV/0!
Broward County: Hillsboro Beach,FL,1998,26.293954,-80.077651,Unknown,Unknown,6120.00,555000.00,0.00,0.70,0.00,0.00,90.69
"Carlsbad State Beach Park, San Diego County",CA,1998,33.14769,-117.345159,Unknown,Unknown,0.00,273581.00,0.00,0.70,0.00,0.00,#DIV/0!
Carolina Beach    ,NC,1998,34.038772,-77.888904,Federal,Shore Protection,0.00,575000.00,2020650.00,0.70,2886642.86,3.51,#DIV/0!
Collier County: Marco Island,FL,1998,25.935122,-81.733904,Unknown,Unknown,0.00,0.00,5000000.00,0.70,7142857.14,#DIV/0!,0.00
Corpus Christi (Nueces County),TX,1998,27.821988,-97.386417,State,Unknown,0.00,24000.00,85000.00,0.70,121428.57,3.54,#DIV/0!
Daufuskie,SC,1998,32.113277,-80.8462,Private,Unknown,18480.00,1400000.00,6000000.00,0.70,8571428.57,4.29,75.76
Dead Neck,MA,1998,41.548978,-70.5233,Local,Unknown,0.00,0.00,0.00,0.70,0.00,0.00,#DIV/0!
Debidue,SC,1998,33.361942,-79.151065,Private,Unknown,7920.00,250000.00,1500000.00,0.70,2142857.14,6.00,31.57
"Del Mar, San Diego County",CA,1998,32.959598,-117.268388,Federal,Navigation,0.00,170000.00,0.00,0.70,0.00,0.00,#DIV/0!
Dewey Beach,DE,1998,38.69298,-75.07179,State,Emergency,6095.00,453500.00,1948000.00,0.70,2782857.14,4.30,74.41
"Dockweiler Beach, Playa Del Rey, Los Angeles County",CA,1998,33.925842,-118.43399,Unknown,Navigation,0.00,123300.00,0.00,0.70,0.00,0.00,#DIV/0!
Fenwick Island,DE,1998,38.462461,-75.049388,State,Unknown,2800.00,141100.00,926390.00,0.70,1323414.29,6.57,50.39
Figure Eight Island - South End,NC,1998,34.252534,-77.758791,Private,Navigation,0.00,450000.00,0.00,0.70,0.00,0.00,#DIV/0!
Folly Beach Spit,SC,1998,32.6504324,-79.96338,Federal,Navigation,2000.00,90000.00,315000.00,0.70,450000.00,3.50,45.00
Galveston Island (Eastern half),TX,1998,29.235107,-94.882618,Unknown,Unknown,20000.00,70000.00,0.00,0.70,0.00,0.00,3.50
Holden Beach    ,NC,1998,33.908890,-78.310204,Federal,Shore Protection,3600.00,0.00,1345746.00,0.70,1922494.29,#DIV/0!,0.00
Kure Beach,NC,1998,33.995750,-77.906199,Federal,Shore Protection,18005.00,0.00,14550000.00,0.70,20785714.29,#DIV/0!,0.00
Lewes Beach,DE,1998,38.785519,-75.147815,State,Navigation,1000.00,80898.00,0.00,0.70,0.00,0.00,80.90
"Long Beach, Los Angeles County",CA,1998,33.761239,-118.158517,Local,Shore Protection,2500.00,60000.00,0.00,0.70,0.00,0.00,24.00
Manatee County/Sarasota County: Longboat Key,FL,1998,27.411776,-82.660484,Unknown,Unknown,0.00,0.00,651817.00,0.70,931167.14,#DIV/0!,#DIV/0!
"Mission Beach, San Diego County",CA,1998,32.776631,-117.253432,Federal,Navigation,0.00,12000.00,0.00,0.70,0.00,0.00,#DIV/0!
Myrtle Beach,SC,1998,33.687161,-78.883097,Federal,Shore Protection,48780.00,2249916.00,16870194.00,0.70,24100277.14,7.50,46.12
North Indian River Inlet,DE,1998,38.606274,-75.061169,Federal,Section 111,3500.00,100000.00,0.00,0.70,0.00,0.00,28.57
North Shores,DE,1998,38.736176,-75.079279,State,Unknown,2265.00,188100.00,721630.00,0.70,1030900.00,3.84,83.05
"Oceanside City Beach, San Diego County",CA,1998,33.195173,-117.385526,Federal,Navigation,0.00,102000.00,0.00,0.70,0.00,0.00,#DIV/0!
Palm Beach County: Boca Raton North,FL,1998,26.359727,-80.068703,Federal,Unknown,7656.00,680000.00,2750000.00,0.70,3928571.43,4.04,88.82
Palm Beach County: Lake Worth Inlet (South Beach),FL,1998,26.61416,-80.036538,Federal,Navigation,0.00,900000.00,0.00,0.70,0.00,0.00,#DIV/0!
Palm Beach County: Ocean Ridge,FL,1998,26.527031,-80.047288,Federal,Unknown,8448.00,939886.00,3169000.00,0.70,4527142.86,3.37,111.26
Pea Island,NC,1998,35.727144,-75.496674,Federal,Navigation,0.00,260183.00,637448.00,0.70,910640.00,2.45,#DIV/0!
Pirate's Beach,TX,1998,29.203148,-94.935747,Unknown,Unknown,5000.00,0.00,0.00,0.70,0.00,#DIV/0!,0.00
Rehoboth Beach,DE,1998,38.720926,-75.076253,State,Unknown,3500.00,274300.00,1087750.00,0.70,1553928.57,3.97,78.37
"Samish Island, North Puget Sound ",WA,1998,48.575102,-122.540957,Unknown,Unknown,1000.00,8760.00,250000.00,0.70,357142.86,28.54,8.76
Sandbridge,VA,1998,36.745865,-75.943615,Federal,Shore Protection,24300.00,1100000.00,8100000.00,0.70,11571428.57,7.36,45.27
Sandy Hook,NJ,1998,40.455046,-73.989172,Unknown,Unknown,4400.00,287749.00,0.00,0.70,0.00,0.00,65.40
Sarasota County: Lido Key,FL,1998,27.31009,-82.576313,Unknown,Unknown,4435.00,285000.00,0.00,0.70,0.00,0.00,64.26
Sarasota County: Sarasota-Lido Key,FL,1998,27.307132,-82.574208,Unknown,Unknown,4963.00,292500.00,0.00,0.70,0.00,0.00,58.94
Sea Colony,DE,1998,38.528847,-75.05368,State,Unknown,2333.00,128000.00,419479.00,0.70,599255.71,3.28,54.86
South Bowers,DE,1998,39.061533,-75.39696,State,Unknown,800.00,10300.00,0.00,0.70,0.00,0.00,12.88
St. Johns County: St. Augustine Beach/Anastasia,FL,1998,29.88676,-81.286361,Federal,Navigation,3200.00,282000.00,1410000.00,0.70,2014285.71,5.00,88.13
Sullivan's Island,SC,1998,32.756431,-79.840661,State,Unknown,2640.00,35000.00,230000.00,0.70,328571.43,6.57,13.26
"Venice Beach, Los Angeles County",CA,1998,33.976784,-118.466156,Federal,Navigation,0.00,123000.00,0.00,0.70,0.00,0.00,#DIV/0!
"Whaler Island, Crescent City, Del Norte County",CA,1998,41.739937,-124.184089,Federal,Navigation,0.00,70000.00,0.00,0.70,0.00,0.00,#DIV/0!
Whiskey Island Restoration (TE-27),LA,1998,29.048518,-90.814401,Federal,Ecosystem Restoration,16896.00,0.00,7040000.00,0.70,10057142.86,#DIV/0!,0.00
Wrightsville Beach,NC,1998,34.207242,-77.793460,Federal,Shore Protection,0.00,1672227.00,3969298.97,0.70,5670427.10,2.37,0.00
Arcadian Shores,SC,1999,33.768957,-78.771844,Local,Unknown,4780.00,446000.00,4093218.00,0.72,5724780.42,9.18,93.31
Atlantic Highlands,NJ,1999,40.441558,-74.098799,State,Unknown,0.00,40000.00,0.00,0.72,0.00,0.00,#DIV/0!
Bay County: Panama City Beach,FL,1999,30.176314,-85.807965,Federal,Shore Protection,93080.00,9800000.00,33000000.00,0.72,46153846.15,3.37,105.29
Beach Pocket Park No. 2,TX,1999,29.226502,-94.896963,Unknown,Unknown,485.00,1200.00,0.00,0.72,0.00,0.00,2.47
Brigantine,NJ,1999,39.405826,-74.362421,Federal,Shore Protection,9504.00,999827.00,4970000.00,0.72,6951048.95,4.97,105.20
Cape May,NJ,1999,38.929502,-74.924212,Federal,Ecosystem Restoration,10032.00,2372000.00,73571000.00,0.72,102896503.50,31.02,236.44
Cape May Inlet to Lower Township,NJ,1999,38.941653,-74.883331,Federal,Shore Protection,0.00,400000.00,3400000.00,0.72,4755244.76,8.50,#DIV/0!
Caplen Shores/Caplen Beach Subdivision,TX,1999,29.490002,-94.544156,Unknown,Unknown,0.00,175000.00,0.00,0.72,0.00,0.00,#DIV/0!
City of San Fransisco,CA,1999,37.759375,-122.510806,State,Unknown,0.00,10000.00,500000.00,0.72,699300.70,50.00,#DIV/0!
"Dockweiler Beach, Playa Del Rey, Los Angeles County",CA,1999,33.925842,-118.43399,Local,Navigation,0.00,215655.00,0.00,0.72,0.00,0.00,#DIV/0!
"Driftwood Beach, Blakely Island",WA,1999,48.586317,-122.807729,Unknown,Unknown,900.00,1810.00,90000.00,0.72,125874.13,49.72,2.01
Edisto Beach,SC,1999,32.477673,-80.336162,State,Unknown,0.00,25000.00,250000.00,0.72,349650.35,10.00,#DIV/0!
Emerald Isle Point,NC,1999,34.645027,-77.097867,Federal,Navigation,0.00,48000.00,0.00,0.72,0.00,0.00,#DIV/0!
